         x          IC           u           e
     0.314     3.14004    0.469997    0.469574
     0.316     3.16024    0.471941    0.471516
     0.318     3.18035    0.473866     0.47344
      0.32     3.20032    0.475773    0.475344
     0.322     3.22016    0.477661     0.47723
     0.324     3.23993     0.47953    0.479098
     0.326     3.25973    0.481381    0.480946
     0.328     3.27962    0.483212    0.482775
      0.33     3.29967    0.485024    0.484585
     0.332     3.31985    0.486817    0.486376
     0.334      3.3401    0.488591    0.488148
     0.336     3.36031    0.490346    0.489901
     0.338      3.3804    0.492081    0.491634
      0.34     3.40033    0.493797    0.493348
     0.342     3.42013    0.495493    0.495042
     0.344     3.43987     0.49717    0.496717
     0.346     3.45966    0.498827    0.498372
     0.348     3.47958    0.500464    0.500008
      0.35     3.49966    0.502082    0.501624
     0.352     3.51989     0.50368     0.50322
     0.354     3.54016    0.505258    0.504796
     0.356     3.56038    0.506816    0.506352
     0.358     3.58045    0.508354    0.507888
      0.36     3.60034    0.509872    0.509405
     0.362     3.62009     0.51137    0.510901
     0.364      3.6398    0.512848    0.512377
     0.366     3.65958    0.514305    0.513832
     0.368     3.67952    0.515742    0.515268
      0.37     3.69966    0.517159    0.516683
     0.372     3.71994    0.518556    0.518077
     0.374     3.74025    0.519932    0.519451
     0.376     3.76047    0.521287    0.520805
     0.378     3.78051    0.522622    0.522138
      0.38     3.80034    0.523936    0.523451
     0.382     3.82003     0.52523    0.524743
     0.384      3.8397    0.526503    0.526014
     0.386     3.85948    0.527755    0.527264
     0.388     3.87946    0.528986    0.528494
      0.39     3.89966    0.530196    0.529702
     0.392        3.92    0.531386     0.53089
     0.394     3.94036    0.532554    0.532057
     0.396     3.96058    0.533702    0.533203
     0.398     3.98058    0.534828    0.534327
       0.4     4.00034    0.535933    0.535431
     0.402     4.01995    0.537017    0.536514
     0.404     4.03957     0.53808    0.537575
     0.406     4.05935    0.539122    0.538615
     0.408     4.07938    0.540142    0.539634
      0.41     4.09967    0.541142    0.540632
     0.412      4.1201    0.542119    0.541608
     0.414     4.14051    0.543076    0.542563
     0.416     4.16074    0.544011    0.543496
     0.418     4.18067    0.544924    0.544408
      0.42     4.20032    0.545816    0.545298
     0.422     4.21983    0.546686    0.546167
     0.424     4.23938    0.547535    0.547015
     0.426     4.25916    0.548363     0.54784
     0.428     4.27928    0.549168    0.548645
      0.43     4.29969    0.549952    0.549427
     0.432     4.32026    0.550714    0.550188
     0.434     4.34075    0.551455    0.550927
     0.436     4.36097    0.552174    0.551644
     0.438     4.38079    0.552871     0.55234
      0.44     4.40028    0.553546    0.553014
     0.442     4.41962    0.554199    0.553666
     0.444     4.43907     0.55483    0.554296
     0.446     4.45887     0.55544    0.554904
     0.448     4.47912    0.556028     0.55549
      0.45     4.49976    0.556593    0.556054
     0.452     4.52056    0.557137    0.556597
     0.454     4.54118    0.557659    0.557117
     0.456     4.56137    0.558158    0.557616
     0.458     4.58099    0.558636    0.558092
      0.46     4.60015    0.559092    0.558546
     0.462     4.61917    0.559525    0.558979
     0.464     4.63844    0.559937    0.559389
     0.466     4.65829    0.560326    0.559777
     0.468     4.67887    0.560693    0.560143
      0.47     4.70001    0.561039    0.560487
     0.472      4.7213    0.561362    0.560809
     0.474      4.7422    0.561663    0.561109
     0.476     4.76226    0.561941    0.561386
     0.478      4.7813    0.562198    0.561642
      0.48     4.79957    0.562432    0.561875
     0.482      4.8177    0.562644    0.562086
     0.484     4.83652    0.562834    0.562275
     0.486     4.85676    0.563002    0.562441
     0.488     4.87871    0.563148    0.562586
      0.49     4.90197    0.563271    0.562708
     0.492     4.92533    0.563372    0.562808
     0.494     4.94692    0.563451    0.562886
     0.496     4.96453    0.563508    0.562941
     0.498      4.9761    0.563542    0.562975
       0.5     4.98013    0.563554    0.562986
     0.502      4.9761    0.563544    0.562975
     0.504     4.96453    0.563512    0.562941
     0.506     4.94692    0.563457    0.562886
     0.508     4.92533     0.56338    0.562808
      0.51     4.90197    0.563281    0.562708
     0.512     4.87871     0.56316    0.562586
     0.514     4.85676    0.563017    0.562441
     0.516     4.83652    0.562851    0.562275
     0.518      4.8177    0.562663    0.562086
      0.52     4.79957    0.562453    0.561875
     0.522      4.7813    0.562221    0.561642
     0.524     4.76226    0.561966    0.561386
     0.526      4.7422     0.56169    0.561109
     0.528      4.7213    0.561391    0.560809
      0.53     4.70001     0.56107    0.560487
     0.532     4.67887    0.560727    0.560143
     0.534     4.65829    0.560362    0.559777
     0.536     4.63844    0.559974    0.559389
     0.538     4.61917    0.559565    0.558979
      0.54     4.60015    0.559134    0.558546
     0.542     4.58099     0.55868    0.558092
     0.544     4.56137    0.558204    0.557616
     0.546     4.54118    0.557707    0.557117
     0.548     4.52056    0.557187    0.556597
      0.55     4.49976    0.556646    0.556054
     0.552     4.47912    0.556082     0.55549
     0.554     4.45887    0.555497    0.554904
     0.556     4.43907    0.554889    0.554296
     0.558     4.41962     0.55426    0.553666
      0.56     4.40028    0.553609    0.553014
     0.562     4.38079    0.552936     0.55234
     0.564     4.36097    0.552241    0.551644
     0.566     4.34075    0.551524    0.550927
